Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2016s,UT,UTSA,00:33:36,UTSA,UT,Goal Scored,,,,2,1,,Shot,Top,A. Lee,Short,Front,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2026s,UT,UTSA,00:33:46,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2048s,UT,UTSA,00:34:08,UTSA,UT,Possession Change,TRUE,Ballcarrier Beat,P. Mosqueda held onto ball too long,2,1,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,P. Mosqueda,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2056s,UT,UTSA,00:34:16,UTSA,UT,Goal Scored,TRUE,,,2,1,12,Shot,Medium,P. Mosqueda,Short,Front,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2067s,UT,UTSA,00:34:27,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2106s,UT,UTSA,00:35:06,UT,UTSA,Goal Scored,,,,1,2,99,Dunk,Medium,2 UTSA hoops chasers,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2120s,UT,UTSA,00:35:20,UTSA,UT,Possession Change,,Goal Scored,,2,1,,,,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2138s,UT,UTSA,00:35:38,UT,UTSA,Possession Change,,Bad Pass,,1,2,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2176s,UT,UTSA,00:36:16,UT,UTSA,Goal Scored,,,,1,1,96,Shot,Top,1 UTSA hoops chaser,Medium,Front,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2179s,UT,UTSA,00:36:19,,,Stoppage,,,,,,,,,,,,,,,,,,,,
